v_products_model,v_manufacturers_name,v_manufactures_code,v_products_image,v_products_price,v_rrp,v_web_price,v_rate_1,v_rate_2,v_rate_3,v_show_price,v_multi_quantity,v_multi_price,v_trade_multi_quantity,v_trade_multi_price,v_box_quantity,v_status,v_products_name_1,v_products_description_1,v_categories_name_1,v_product_style,v_product_finish,v_product_material,v_product_colour,v_products_weight,v_lumens,v_colour_temp,v_energy_class,v_cri,v_hours,v_bulbs_qty,v_bulbs_watage,v_bulb_type,v_bulb_cap,v_bulbs_inc,v_ip_rating,v_bulbs_s1,v_info,v_product_length,v_dimensions_width,v_dimensions_height,v_product_dia,v_dimensions_depth,v_product_min_drop,v_product_max_drop,v_xsell,v_product_voltage,v_product_guarantee,v_product_saftey_class,v_product_transformer,v_product_driver,v_product_cut_out,v_product_recess,v_product_surface_temp,v_product_tilt,v_product_cable,v_product_options,v_product_nonreturnable,v_product_carrage,v_product_statements,v_product_variant,v_priortity,v_family_caption,v_common_images,v_sale_price,v_now_price
A18 22825,Ansell,AN AME27075/SS,products/AN AME27075-SS,300.00,375.00,300.00,243.30,300.00,281.25,ABCD,0,0,0,0.00,0,1,Stainless Steel 750mm Bollard,"*E27 High Grade AISI 316L stainless steel Bollard *External louvred head and opal polycarbonate diffuser *Suitable for commercial and domestic applications *Available as E27, PL-C, SONE / HQI-E**",75,2,,8,35,,0,0,0,0,,1,75,0,ES,,44,1 x 75w ES ,0,,,750,160,,,,,,,,,,,,,,,,1,,,,,,,,
A18 22826,Ansell,AN AME27100/SS,products/AN AME27100-SS,363.00,453.00,363.00,294.45,362.40,339.75,ABCD,0,0,0,0.00,0,1,Stainless Steel 1000mm Bollard,"*E27 High Grade AISI 316L stainless steel Bollard *External louvred head and opal polycarbonate diffuser *Suitable for commercial and domestic applications *Available as E27, PL-C, SONE / HQI-E**",75,2,,8,35,,0,0,0,0,,1,75,0,ES,,44,1 x 75w ES ,0,,,1000,160,,,,,,,,,,,,,,,,1,,,,,,,,
A18 23350,Ansell,AN ANLED/045GR,products/AN ANLED-045GR,310.00,387.00,310.00,251.47,309.60,290.25,ABCD,0,0,0,0.00,0,1,LED 450mm Bollard,*Modern style bollard suitable for commercial and domestic applications *Body in die-cast and extruded aluminium *White reflector with clear polycarbonate diffuser *5W Cool White LED**,76,2,,8,,,430,5000,0,65,,0,5,LED,0,,55,5W LED,0,,,450,158,,,,,,,,,,,,,,,,1,,,,,,,,
A18 23351,Ansell,AN ANLED/075GR,products/AN ANLED-075GR,356.00,444.00,356.00,288.52,355.20,333.00,ABCD,0,0,0,0.00,0,1,LED 750mm Bollard,*Modern style bollard suitable for commercial and domestic applications *Body in die-cast and extruded aluminium *White reflector with clear polycarbonate diffuser *10W Cool White LED**,76,2,,8,,,910,5000,0,65,,0,10,LED,0,,55,10W LED,0,,,750,158,,,,,,,,,,,,,,,,1,,,,,,,,
A18 23352,Ansell,AN ANLED/100GR,products/AN ANLED-100GR,366.00,458.00,367.00,297.26,366.40,343.50,ABCD,0,0,0,0.00,0,1,LED 1000mm Bollard,*Modern style bollard suitable for commercial and domestic applications *Body in die-cast and extruded aluminium *White reflector with clear polycarbonate diffuser *10W Cool White LED**,76,2,,8,,,910,5000,0,65,,0,10,LED,0,,55,10W LED,0,,,1000,158,,,,,,,,,,,,,,,,1,,,,,,,,
A18 24100,Ansell,AN APESLED/B,products/AN APESLED-B,80.00,89.00,89.00,57.33,71.20,66.75,ABCD,0,0,0,0.00,0,1,LED Bulkhead Black,LED Bulkhead Black. *All Polycarbonate suitable for wall or ceiling applications. *Supplies with both plain and eyelid diffusers *Non-dimmable *Available in Black or White **,78*81,2,,7,2,,834,4000,0,80,40000,0,0,0,0,,66,12W LED 4000K,0,,,,300,90,,,,,,,,,,,,,,,1,,,,,,,,
A18 24101,Ansell,AN APESLED/W,products/AN APESLED-W,80.00,89.00,89.00,57.33,71.20,66.75,ABCD,0,0,0,0.00,0,1,LED Bulkhead White,LED Bulkhead White. *All Polycarbonate suitable for wall or ceiling applications. *Supplies with both plain and eyelid diffusers *Non-dimmable *Available in Black or White **,78*81,2,,7,23,,834,4000,0,80,40000,0,0,0,0,,66,12W LED 4000K,0,,,,300,90,,,,,,,,,,,,,,,1,,,,,,,,
A18 25470,Ansell,AN ARIO/B,products/AN ARIO-B,50.00,,50.00,32.29,40.00,37.50,ABCD,0,0,0,0.00,0,1,Outdoor Wall or Ceiling Light,Black die-cast aluminium body with opal polycarbonate diffuser,78*132,2,,8,2,,0,0,0,0,,1,60,0,ES,,65,1 x 60w ES ,0,250,250,,,110,,,,,,,,,,,,,,,1,,,,,,,,
A18 26000,Ansell,AN ASC075/B,products/AN ASC075-B,26.00,,26.00,16.38,20.80,19.50,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light Black,*E27 Injection moulded thermoplastic body *Opal polycarbonate diffuser for resillience *Optional eyelid cover accessory replaces plain frame *Low Energy PL-C version or LED available**,78,2,,7,2,,0,0,0,0,,1,60,0,ES,,65,1 x 60w ES ,0,,180,330,,120,,,,,,,,,,,,,,,1,,,,,,,,
A18 26001,Ansell,AN ASC075/W,products/AN ASC075-W,26.00,,26.00,16.38,20.80,19.50,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light White,*E27 Injection moulded thermoplastic body *Opal polycarbonate diffuser for resillience *Optional eyelid cover accessory replaces plain frame *Low Energy PL-C version or LED available**,78,2,,7,23,,0,0,0,0,,1,60,0,ES,,65,1 x 60w ES ,0,,180,330,,120,,,,,,,,,,,,,,,1,,,,,,,,
A18 26002,Ansell,AN ASCOLED/B,products/AN ASCOLED-B,54.00,60.00,60.00,38.81,48.00,45.00,0,0,0,0,0.00,0,1,LED Outdoor Wall Light Black,*E27 Injection moulded thermoplastic body *Opal polycarbonate diffuser for resillience *Optional eyelid cover accessory replaces plain frame *Low Energy PL-C version or LED available**,78*81,2,,7,2,,400,4000,0,80,,0,0,0,0,,65,8W LED  4000K,0,,180,330,,120,,,,,,,,,,,,,,,1,,,,,,,,
A18 26003,Ansell,AN ASCOLED/W,products/AN ASCOLED-W,54.00,60.00,60.00,38.81,48.00,45.00,0,0,0,0,0.00,0,1,LED Outdoor Wall Light White,*E27 Injection moulded thermoplastic body *Opal polycarbonate diffuser for resillience *Optional eyelid cover accessory replaces plain frame *Low Energy PL-C version or LED available**,78*81,2,,7,23,,400,4000,0,80,,0,0,0,0,,65,8W LED  4000K,0,,180,330,,120,,,,,,,,,,,,,,,1,,,,1,,,,
