v_products_model,v_manufacturers_name,v_manufactures_code,v_products_image,v_products_price,v_rrp,v_web_price,v_rate_1,v_rate_2,v_rate_3,v_show_price,v_multi_quantity,v_multi_price,v_trade_multi_quantity,v_trade_multi_price,v_box_quantity,v_status,v_products_name_1,v_products_description_1,v_categories_name_1,v_product_style,v_product_finish,v_product_material,v_product_colour,v_products_weight,v_lumens,v_colour_temp,v_energy_class,v_cri,v_hours,v_bulbs_qty,v_bulbs_watage,v_bulb_type,v_bulb_cap,v_bulbs_inc,v_ip_rating,v_bulbs_s1,v_info,v_product_length,v_dimensions_width,v_dimensions_height,v_product_dia,v_dimensions_depth,v_product_min_drop,v_product_max_drop,v_xsell,v_product_voltage,v_product_guarantee,v_product_saftey_class,v_product_transformer,v_product_driver,v_product_cut_out,v_product_recess,v_product_surface_temp,v_product_tilt,v_product_cable,v_product_options,v_product_nonreturnable,v_product_carrage,v_product_statements,v_product_variant,v_priortity,v_family_caption,v_common_images,v_sale_price,v_now_price
O11 13000,Oaks,OA 135CH,products/OA 135CH,32.00,,32.00,32.00,25.60,25.60,CD,0,0,,,,1,Non Electric Pendant Shade,Non Electric Pendant Shade. Supplied with 45mm hole and 29mm adaptor to fit most pendants,185,2,,7,7,,0,0,0,0,,0,0,0,0,,0,,0,,,220,160,,,,,,,,,,,,,,,,1,,,,,,,,
O11 13060,Oaks,OA 140BK,products/OA 140BK,65.00,,65.00,65.00,52.00,52.00,CD,0,0,,,,1,"Flush Light with frosted lens, Black","Flush Light with frosted lens, Black. Flush Lantern manufactured from Die-cast Aluminium with a Frosted Polycarbonate Lens and a 20 Year Guarantee against Corrosion",132,1,4,8,2,,0,0,0,0,,1,60,GLS,ES,,44,1 x 60w ES GLS,0,,,,260,150,,,,,20,,,,,,,,,,1,,,,,,,,
O11 13061,Oaks,OA 140WH,products/OA 140WH,65.00,,65.00,65.00,52.00,52.00,CD,0,0,,,,1,"Flush Light with frosted lens, White","Flush Light with frosted lens, White. Flush Lantern manufactured from Die-cast Aluminium with a Frosted Polycarbonate Lens and a 20 Year Guarantee against Corrosion",132,1,4,8,23,,0,0,0,0,,1,60,GLS,ES,,44,1 x 60w ES GLS,0,,,,260,150,,,,,20,,,,,,,,,,1,,,,,,,,
O11 13300,Oaks,OA 1450/2AB,products/OA 1450-2AB,55.00,,55.00,55.00,44.00,44.00,CD,0,0,,,,1,"Wall Light, with clear glass, Antique Brass","Wall Light, with clear glass, Antique Brass. Switched. *Available in Antique Brass, Chrome or Mirror Black finish **",151,2,4,8,1,,0,0,0,0,,2,25,Mains,G9,1,0,2 x 25w G9 Mains,0,,500,150,,,,,,,,,,,,,,,,,1,,,,,,,,
O11 13301,Oaks,OA 1450/2CH,products/OA 1450-2CH,55.00,,55.00,55.00,44.00,44.00,CD,0,0,,,,1,"Wall Light, with clear glass, Chrome","Wall Light, with clear glass, Chrome. Switched. *Available in Antique Brass, Chrome or Mirror Black finish **",151,2,4,8,21,,0,0,0,0,,2,25,Mains,G9,1,0,2 x 25w G9 Mains,0,,500,150,,,,,,,,,,,,,,,,,1,,,,,,,,
O11 13302,Oaks,OA 1450/2MB,products/OA 1450-2MB,55.00,,55.00,55.00,44.00,44.00,CD,0,0,,,,1,"Wall Light, with clear glass, Mirror Black","Wall Light, with clear glass, Mirror Black. Switched. *Available in Antique Brass, Chrome or Mirror Black finish **",151,2,4,8,3,,0,0,0,0,,2,25,Mains,G9,1,0,2 x 25w G9 Mains,0,,500,150,,,,,,,,,,,,,,,,,1,,,,,,,,
O11 13303,Oaks,OA 1450/4AB,products/OA 1450-4AB,129.00,,129.00,129.00,103.20,103.20,CD,0,0,,,,1,"4 Light Semi Flush with clear glass, Antique Brass","4 Light Semi Flush with clear glass, Antique Brass. Adjustable heads. *Available in Antique Brass, Chrome or Mirror Black finish **",178*20,2,4,8,7,,0,0,0,0,,4,25,Mains,G9,1,0,4 x 25w G9 Mains,0,,,150,500,,,,,,,,,,,,,,,,1,,,,,,,,
O11 13304,Oaks,OA 1450/4CH,products/OA 1450-4CH,129.00,,129.00,129.00,103.20,103.20,CD,0,0,,,,1,"4 Light Semi Flush with clear glass, Chrome","4 Light Semi Flush with clear glass, Chrome. Adjustable heads. *Available in Antique Brass, Chrome or Mirror Black finish **",178*20,2,4,8,1,,0,0,0,0,,4,25,Mains,G9,1,0,4 x 25w G9 Mains,0,,,150,500,,,,,,,,,,,,,,,,1,,,,,,,,
O11 13305,Oaks,OA 1450/4MB,products/OA 1450-4MB,129.00,,129.00,129.00,103.20,103.20,CD,0,0,,,,1,"4 Light Semi Flush with clear glass, Mirror Black","4 Light Semi Flush with clear glass, Mirror Black. Adjustable heads. *Available in Antique Brass, Chrome or Mirror Black finish **",178*20,2,4,8,21,,0,0,0,0,,4,25,Mains,G9,1,0,4 x 25w G9 Mains,0,,,150,500,,,,,,,,,,,,,,,,1,,,,1,,,,
O11 13306,Oaks,OA 1450/6AB,products/OA 1450-6AB,186.00,,186.00,186.00,148.80,148.80,CD,0,0,,,,1,"6 Light Semi Flush with clear glass, Antique Brass","6 Light Semi Flush with clear glass, Antique Brass. Adjustable heads. *Available in Antique Brass, Chrome or Mirror Black finish **",178*20,2,4,8,3,,0,0,0,0,,6,25,Mains,G9,1,0,6 x 25w G9 Mains,0,,,210,520,,,,,,,,,,,,,,,,1,,,,1,,,,
O11 13307,Oaks,OA 1450/6CH,products/OA 1450-6CH,186.00,,186.00,186.00,148.80,148.80,CD,0,0,,,,1,"6 Light Semi Flush with clear glass, Chrome","6 Light Semi Flush with clear glass, Chrome. Adjustable heads. *Available in Antique Brass, Chrome or Mirror Black finish **",178*20,2,4,8,7,,0,0,0,0,,6,25,Mains,G9,1,0,6 x 25w G9 Mains,0,,,210,520,,,,,,,,,,,,,,,,1,,,,1,,,,
O11 13308,Oaks,OA 1450/6MB,products/OA 1450-6MB,186.00,,186.00,186.00,148.80,148.80,CD,0,0,,,,1,"6 Light Semi Flush with clear glass, Mirror Black","6 Light Semi Flush with clear glass, Mirror Black. Adjustable heads. *Available in Antique Brass, Chrome or Mirror Black finish **",178*20,2,4,8,1,,0,0,0,0,,6,25,Mains,G9,1,0,6 x 25w G9 Mains,0,,,210,520,,,,,,,,,,,,,,,,1,,,,,,,,
